node_id,x,y
1,966762.31508709,27292997.436896
2,966764.03849002,27292992.743193
3,966799.95004051,27293010.989483
4,966801.67344345,27293006.29578
5,966768.58757932,27292999.695661
6,966770.31098226,27292995.001957
7,966774.86007156,27293001.954425
8,966776.5834745,27292997.260722
9,966781.1325638,27293004.21319
10,966782.85596674,27292999.519486
11,966787.40505604,27293006.471954
12,966789.12845898,27293001.778251
13,966793.67754828,27293008.730719
14,966795.40095121,27293004.037015
15,966759.38530209,27293005.416193
16,966761.10870503,27293000.722489
17,966797.02025552,27293018.96878
18,966798.74365846,27293014.275076
19,966765.65779433,27293007.674958
20,966767.38119727,27293002.981254
21,966771.93028657,27293009.933722
22,966773.6536895,27293005.240018
23,966778.2027788,27293012.192487
24,966779.92618174,27293007.498783
25,966784.47527104,27293014.451251
26,966786.19867398,27293009.757547
27,966790.74776328,27293016.710016
28,966792.47116622,27293012.016312
29,966782.99592218,27292941.11245
30,966784.71932512,27292936.418746
31,966820.63087561,27292954.665037
32,966822.35427855,27292949.971333
33,966789.26841442,27292943.371215
34,966790.99181735,27292938.677511
35,966795.54090665,27292945.629979
36,966797.26430959,27292940.936275
37,966801.81339889,27292947.888744
38,966803.53680183,27292943.19504
39,966808.08589113,27292950.147508
40,966809.80929407,27292945.453804
41,966814.35838337,27292952.406273
42,966816.08178631,27292947.712569
43,966780.06613718,27292949.091747
44,966781.78954012,27292944.398043
45,966817.70109061,27292962.644334
46,966819.42449355,27292957.95063
47,966786.33862942,27292951.350511
48,966788.06203236,27292946.656807
49,966792.61112166,27292953.609276
50,966794.3345246,27292948.915572
51,966798.8836139,27292955.86804
52,966800.60701683,27292951.174336
53,966805.15610613,27292958.126805
54,966806.87950907,27292953.433101
55,966811.42859837,27292960.385569
56,966813.15200131,27292955.691865
57,966751.62018793,27293026.564554
58,966754.20855932,27293019.5151
59,966756.7969307,27293012.465647
60,966789.16908769,27293040.351508
61,966791.78614363,27293033.223932
62,966794.40319958,27293026.096356
63,966757.87833789,27293028.862379
64,966760.47149004,27293021.799905
65,966763.06464218,27293014.737431
66,966764.13648785,27293031.160205
67,966766.73442076,27293024.084711
68,966769.33235366,27293017.009216
69,966770.39463781,27293033.458031
70,966772.99735147,27293026.369516
71,966775.60006514,27293019.281001
72,966776.65278777,27293035.755857
73,966779.26028219,27293028.654322
74,966781.86777662,27293021.552786
75,966782.91093773,27293038.053683
76,966785.52321291,27293030.939127
77,966788.1354881,27293023.824571
78,966766.70976455,27292985.467952
79,966769.38103908,27292978.192711
80,966772.0523136,27292970.91747
81,966774.72358813,27292963.642229
82,966777.39486266,27292956.366988
83,966804.34471798,27292999.020539
84,966807.01599251,27292991.745298
85,966809.68726703,27292984.470057
86,966812.35854156,27292977.194816
87,966815.02981608,27292969.919575
88,966772.98225679,27292987.726716
89,966775.65353131,27292980.451475
90,966778.32480584,27292973.176234
91,966780.99608037,27292965.900993
92,966783.66735489,27292958.625752
93,966779.25474903,27292989.985481
94,966781.92602355,27292982.71024
95,966784.59729808,27292975.434999
96,966787.26857261,27292968.159758
97,966789.93984713,27292960.884517
98,966785.52724126,27292992.244245
99,966788.19851579,27292984.969004
100,966790.86979032,27292977.693763
101,966793.54106484,27292970.418522
102,966796.21233937,27292963.143281
103,966791.7997335,27292994.50301
104,966794.47100803,27292987.227769
105,966797.14228256,27292979.952528
106,966799.81355708,27292972.677287
107,966802.48483161,27292965.402046
108,966798.07222574,27292996.761774
109,966800.74350027,27292989.486533
110,966803.41477479,27292982.211292
111,966806.08604932,27292974.936051
112,966808.75732385,27292967.66081
113,966787.32042888,27292929.334616
114,966789.92153265,27292922.250486
115,966792.52263641,27292915.166356
116,966824.92669775,27292942.965326
117,966827.49911696,27292935.959318
118,966830.07153617,27292928.95331
119,966793.58814036,27292931.606401
120,966796.18446337,27292924.535291
121,966798.78078637,27292917.464181
122,966799.85585184,27292933.878186
123,966802.44739408,27292926.820097
124,966805.03893633,27292919.762007
125,966806.12356332,27292936.149971
126,966808.7103248,27292929.104902
127,966811.29708629,27292922.059833
128,966812.3912748,27292938.421756
129,966814.97325552,27292931.389707
130,966817.55523625,27292924.357659
131,966818.65898627,27292940.693541
132,966821.23618624,27292933.674513
133,966823.81338621,27292926.655485
134,966746.92657546,27293024.841184
135,966749.51494685,27293017.791731
136,966752.10331823,27293010.742277
137,966754.69168962,27293003.692824
138,966756.41509256,27292998.99912
139,966757.62147462,27292995.713527
140,966759.34487755,27292991.019823
141,966762.01615208,27292983.744582
142,966764.68742661,27292976.469341
143,966767.35870113,27292969.1941
144,966770.02997566,27292961.918859
145,966772.70125019,27292954.643618
146,966775.37252471,27292947.368377
147,966777.09592765,27292942.674674
148,966778.30230971,27292939.389081
149,966780.02571265,27292934.695377
150,966782.62681641,27292927.611247
151,966785.22792018,27292920.527116
152,966787.82902394,27292913.442986
153,966793.86270016,27293042.074878
154,966796.4797561,27293034.947302
155,966799.09681204,27293027.819726
156,966801.71386799,27293020.692149
157,966803.43727093,27293015.998446
158,966804.64365298,27293012.712853
159,966806.36705592,27293008.019149
160,966809.03833045,27293000.743908
161,966811.70960498,27292993.468667
162,966814.3808795,27292986.193426
163,966817.05215403,27292978.918185
164,966819.72342855,27292971.642944
165,966822.39470308,27292964.367703
166,966824.11810602,27292959.673999
167,966825.32448808,27292956.388406
168,966827.04789101,27292951.694703
169,966829.62031022,27292944.688695
170,966832.19272943,27292937.682687
171,966834.76514864,27292930.67668
172,966888.73210296,27293200.884398
173,966891.44576962,27293196.865065
174,966894.15943629,27293192.845731
175,966896.87310296,27293188.826398
176,966899.58676962,27293184.807065
177,966902.30043629,27293180.787731
178,966905.01410296,27293176.768398
179,966907.72776962,27293172.749065
180,966910.44143629,27293168.729731
181,966913.15510296,27293164.710398
182,966915.86876962,27293160.691065
183,966918.58243629,27293156.671731
184,966921.29610296,27293152.652398
185,966924.00976962,27293148.633065
186,966926.72343629,27293144.613731
187,966929.43710296,27293140.594398
188,966932.15076962,27293136.575065
189,966934.86443629,27293132.555731
190,966937.57810296,27293128.536398
191,966940.29176962,27293124.517065
192,966943.00543629,27293120.497731
193,966945.71910296,27293116.478398
194,966948.43276962,27293112.459065
195,966951.14643629,27293108.439731
196,966953.86010296,27293104.420398
197,966956.57376962,27293100.401065
198,966959.28743629,27293096.381731
199,966962.00110296,27293092.362398
200,966964.71476962,27293088.343065
201,966967.42843629,27293084.323731
202,966970.14210296,27293080.304398
203,966905.30789704,27293212.075602
204,966908.02156371,27293208.056269
205,966910.73523038,27293204.036935
206,966913.44889704,27293200.017602
207,966916.16256371,27293195.998269
208,966918.87623038,27293191.978935
209,966921.58989704,27293187.959602
210,966924.30356371,27293183.940269
211,966927.01723038,27293179.920935
212,966929.73089704,27293175.901602
213,966932.44456371,27293171.882269
214,966935.15823038,27293167.862935
215,966937.87189704,27293163.843602
216,966940.58556371,27293159.824269
217,966943.29923038,27293155.804935
218,966946.01289704,27293151.785602
219,966948.72656371,27293147.766269
220,966951.44023038,27293143.746935
221,966954.15389704,27293139.727602
222,966956.86756371,27293135.708269
223,966959.58123038,27293131.688935
224,966962.29489704,27293127.669602
225,966965.00856371,27293123.650269
226,966967.72223038,27293119.630935
227,966970.43589704,27293115.611602
228,966973.14956371,27293111.592269
229,966975.86323038,27293107.572935
230,966978.57689704,27293103.553602
231,966981.29056371,27293099.534269
232,966984.00423038,27293095.514935
233,966986.71789704,27293091.495602
234,966892.04726177,27293203.122639
235,966894.76092844,27293199.103305
236,966897.47459511,27293195.083972
237,966900.18826177,27293191.064639
238,966902.90192844,27293187.045305
239,966905.61559511,27293183.025972
240,966908.32926177,27293179.006639
241,966911.04292844,27293174.987305
242,966913.75659511,27293170.967972
243,966916.47026177,27293166.948639
244,966919.18392844,27293162.929305
245,966921.89759511,27293158.909972
246,966924.61126177,27293154.890639
247,966927.32492844,27293150.871305
248,966930.03859511,27293146.851972
249,966932.75226177,27293142.832639
250,966935.46592844,27293138.813305
251,966938.17959511,27293134.793972
252,966940.89326177,27293130.774639
253,966943.60692844,27293126.755305
254,966946.32059511,27293122.735972
255,966949.03426177,27293118.716639
256,966951.74792844,27293114.697305
257,966954.46159511,27293110.677972
258,966957.17526177,27293106.658639
259,966959.88892844,27293102.639305
260,966962.60259511,27293098.619972
261,966965.31626177,27293094.600639
262,966968.02992844,27293090.581305
263,966970.74359511,27293086.561972
264,966973.45726177,27293082.542639
265,966895.36242059,27293205.36088
266,966898.07608726,27293201.341546
267,966900.78975392,27293197.322213
268,966903.50342059,27293193.30288
269,966906.21708726,27293189.283546
270,966908.93075392,27293185.264213
271,966911.64442059,27293181.24488
272,966914.35808726,27293177.225546
273,966917.07175392,27293173.206213
274,966919.78542059,27293169.18688
275,966922.49908726,27293165.167546
276,966925.21275392,27293161.148213
277,966927.92642059,27293157.12888
278,966930.64008726,27293153.109546
279,966933.35375392,27293149.090213
280,966936.06742059,27293145.07088
281,966938.78108726,27293141.051546
282,966941.49475392,27293137.032213
283,966944.20842059,27293133.01288
284,966946.92208726,27293128.993546
285,966949.63575392,27293124.974213
286,966952.34942059,27293120.95488
287,966955.06308726,27293116.935546
288,966957.77675392,27293112.916213
289,966960.49042059,27293108.89688
290,966963.20408726,27293104.877546
291,966965.91775392,27293100.858213
292,966968.63142059,27293096.83888
293,966971.34508726,27293092.819546
294,966974.05875392,27293088.800213
295,966976.77242059,27293084.78088
296,966898.67757941,27293207.59912
297,966901.39124608,27293203.579787
298,966904.10491274,27293199.560454
299,966906.81857941,27293195.54112
300,966909.53224608,27293191.521787
301,966912.24591274,27293187.502454
302,966914.95957941,27293183.48312
303,966917.67324608,27293179.463787
304,966920.38691274,27293175.444454
305,966923.10057941,27293171.42512
306,966925.81424608,27293167.405787
307,966928.52791274,27293163.386454
308,966931.24157941,27293159.36712
309,966933.95524608,27293155.347787
310,966936.66891274,27293151.328454
311,966939.38257941,27293147.30912
312,966942.09624608,27293143.289787
313,966944.80991274,27293139.270454
314,966947.52357941,27293135.25112
315,966950.23724608,27293131.231787
316,966952.95091274,27293127.212454
317,966955.66457941,27293123.19312
318,966958.37824608,27293119.173787
319,966961.09191274,27293115.154454
320,966963.80557941,27293111.13512
321,966966.51924608,27293107.115787
322,966969.23291274,27293103.096454
323,966971.94657941,27293099.07712
324,966974.66024608,27293095.057787
325,966977.37391274,27293091.038454
326,966980.08757941,27293087.01912
327,966901.99273823,27293209.837361
328,966904.70640489,27293205.818028
329,966907.42007156,27293201.798695
330,966910.13373823,27293197.779361
331,966912.84740489,27293193.760028
332,966915.56107156,27293189.740695
333,966918.27473823,27293185.721361
334,966920.98840489,27293181.702028
335,966923.70207156,27293177.682695
336,966926.41573823,27293173.663361
337,966929.12940489,27293169.644028
338,966931.84307156,27293165.624695
339,966934.55673823,27293161.605361
340,966937.27040489,27293157.586028
341,966939.98407156,27293153.566695
342,966942.69773823,27293149.547361
343,966945.41140489,27293145.528028
344,966948.12507156,27293141.508695
345,966950.83873823,27293137.489361
346,966953.55240489,27293133.470028
347,966956.26607156,27293129.450695
348,966958.97973823,27293125.431361
349,966961.69340489,27293121.412028
350,966964.40707156,27293117.392695
351,966967.12073823,27293113.373361
352,966969.83440489,27293109.354028
353,966972.54807156,27293105.334695
354,966975.26173823,27293101.315361
355,966977.97540489,27293097.296028
356,966980.68907156,27293093.276695
357,966983.40273823,27293089.257361
358,966908.62305586,27293214.313843
359,966911.33672253,27293210.29451
360,966914.0503892,27293206.275176
361,966916.76405586,27293202.255843
362,966919.47772253,27293198.23651
363,966922.19138919,27293194.217176
364,966924.90505586,27293190.197843
365,966927.61872253,27293186.17851
366,966930.33238919,27293182.159176
367,966933.04605586,27293178.139843
368,966935.75972253,27293174.12051
369,966938.47338919,27293170.101176
370,966941.18705586,27293166.081843
371,966943.90072253,27293162.06251
372,966946.6143892,27293158.043176
373,966949.32805586,27293154.023843
374,966952.04172253,27293150.00451
375,966954.75538919,27293145.985176
376,966957.46905586,27293141.965843
377,966960.18272253,27293137.94651
378,966962.89638919,27293133.927176
379,966965.61005586,27293129.907843
380,966968.32372253,27293125.88851
381,966971.03738919,27293121.869176
382,966973.75105586,27293117.849843
383,966976.46472253,27293113.83051
384,966979.1783892,27293109.811176
385,966981.89205586,27293105.791843
386,966984.60572253,27293101.77251
387,966987.31938919,27293097.753176
388,966990.03305586,27293093.733843
389,966885.41694414,27293198.646157
390,966888.13061081,27293194.626824
391,966890.84427747,27293190.60749
392,966893.55794414,27293186.588157
393,966896.27161081,27293182.568824
394,966898.98527747,27293178.54949
395,966901.69894414,27293174.530157
396,966904.41261081,27293170.510824
397,966907.12627747,27293166.49149
398,966909.83994414,27293162.472157
399,966912.5536108,27293158.452824
400,966915.26727747,27293154.43349
401,966917.98094414,27293150.414157
402,966920.69461081,27293146.394824
403,966923.40827747,27293142.37549
404,966926.12194414,27293138.356157
405,966928.83561081,27293134.336824
406,966931.54927747,27293130.31749
407,966934.26294414,27293126.298157
408,966936.97661081,27293122.278824
409,966939.69027747,27293118.25949
410,966942.40394414,27293114.240157
411,966945.1176108,27293110.220824
412,966947.83127747,27293106.20149
413,966950.54494414,27293102.182157
414,966953.25861081,27293098.162824
415,966955.97227747,27293094.14349
416,966958.68594414,27293090.124157
417,966961.39961081,27293086.104824
418,966964.11327747,27293082.08549
419,966966.82694414,27293078.066157
420,967104.32971382,27293094.132413
421,967107.07197757,27293092.263619
422,967109.81424132,27293090.394824
423,967112.55650507,27293088.52603
424,967115.29876881,27293086.657235
425,967118.04103256,27293084.788441
426,967120.78329631,27293082.919647
427,967123.52556005,27293081.050852
428,967126.2678238,27293079.182058
429,967129.01008755,27293077.313263
430,967131.7523513,27293075.444469
431,967188.30356227,27293145.4868
432,967191.31334387,27293143.781607
433,967194.32312547,27293142.076414
434,967197.33290707,27293140.371221
435,967200.34268867,27293138.666027
436,967203.35247027,27293136.960834
437,967206.36225187,27293135.255641
438,967209.37203347,27293133.550447
439,967212.38181507,27293131.845254
440,967215.39159667,27293130.140061
441,967218.40137827,27293128.434868
442,967107.13059832,27293095.8453
443,967109.88142809,27293093.981744
444,967112.63225785,27293092.118188
445,967115.38308762,27293090.254632
446,967118.13391738,27293088.391077
447,967120.88474715,27293086.527521
448,967123.63557692,27293084.663965
449,967126.38640668,27293082.800409
450,967129.13723645,27293080.936853
451,967131.88806621,27293079.073297
452,967134.63889598,27293077.209742
453,967109.93136631,27293097.558116
454,967112.6907854,27293095.699813
455,967115.45020448,27293093.84151
456,967118.20962357,27293091.983207
457,967120.96904266,27293090.124904
458,967123.72846174,27293088.266601
459,967126.48788083,27293086.408298
460,967129.24729991,27293084.549994
461,967132.006719,27293082.691691
462,967134.76613808,27293080.833388
463,967137.52555717,27293078.975085
464,967112.73201732,27293099.27086
465,967115.50004912,27293097.417824
466,967118.26808093,27293095.564788
467,967121.03611273,27293093.711752
468,967123.80414453,27293091.858716
469,967126.57217633,27293090.00568
470,967129.34020813,27293088.152644
471,967132.10823993,27293086.299608
472,967134.87627174,27293084.446573
473,967137.64430354,27293082.593537
474,967140.41233534,27293080.740501
475,967115.53255087,27293100.983532
476,967118.30921888,27293099.135778
477,967121.08588689,27293097.288023
478,967123.8625549,27293095.440269
479,967126.63922291,27293093.592514
480,967129.41589092,27293091.74476
481,967132.19255893,27293089.897006
482,967134.96922694,27293088.049251
483,967137.74589495,27293086.201497
484,967140.52256296,27293084.353742
485,967143.29923098,27293082.505988
486,967118.33296647,27293102.696132
487,967121.11829428,27293100.853674
488,967123.90362209,27293099.011215
489,967126.6889499,27293097.168757
490,967129.4742777,27293095.326298
491,967132.25960551,27293093.48384
492,967135.04493332,27293091.641381
493,967137.83026113,27293089.798923
494,967140.61558893,27293087.956464
495,967143.40091674,27293086.114006
496,967146.18624455,27293084.271547
497,967121.13326366,27293104.40866
498,967123.92727494,27293102.571512
499,967126.72128623,27293100.734364
500,967129.51529752,27293098.897216
501,967132.30930881,27293097.060068
502,967135.1033201,27293095.22292
503,967137.89733139,27293093.385772
504,967140.69134268,27293091.548623
505,967143.48535397,27293089.711475
506,967146.27936526,27293087.874327
507,967149.07337655,27293086.037179
508,967123.93344193,27293106.121115
509,967126.73616048,27293104.289292
510,967129.53887903,27293102.457469
511,967132.34159759,27293100.625646
512,967135.14431614,27293098.793823
513,967137.94703469,27293096.961999
514,967140.74975325,27293095.130176
515,967143.5524718,27293093.298353
516,967146.35519035,27293091.46653
517,967149.1579089,27293089.634707
518,967151.96062746,27293087.802884
519,967126.7335008,27293107.833497
